"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",NA,NA,NA,NA,NA,NA,NA,NA
"2",NA,NA,NA,NA,NA,NA,NA,NA
"3",NA,NA,NA,NA,NA,NA,NA,NA
"4",NA,NA,NA,NA,NA,NA,NA,NA
"5",NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA
"7",NA,NA,NA,NA,NA,NA,NA,NA
"8",NA,NA,NA,NA,NA,NA,NA,NA
"9",NA,NA,NA,NA,NA,NA,NA,NA
"10",NA,NA,NA,NA,NA,NA,NA,NA
"11",NA,NA,NA,NA,NA,NA,NA,NA
"12",NA,NA,NA,NA,NA,NA,NA,NA
"13",NA,NA,NA,NA,NA,NA,NA,NA
"14",NA,NA,NA,NA,NA,NA,NA,NA
"15",NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA
"18",NA,NA,NA,NA,NA,NA,NA,NA
"19",NA,NA,NA,NA,NA,NA,NA,NA
"20",NA,NA,NA,NA,NA,NA,NA,NA
"21",NA,NA,NA,NA,NA,NA,NA,NA
"22",NA,NA,NA,NA,NA,NA,NA,NA
"23",NA,NA,NA,NA,NA,NA,NA,NA
"24",NA,NA,NA,NA,NA,NA,NA,NA
"25",NA,NA,NA,NA,NA,NA,NA,NA
"26",NA,NA,NA,NA,NA,NA,NA,NA
"27",NA,NA,NA,NA,NA,NA,NA,NA
"28",NA,NA,NA,NA,NA,NA,NA,NA
"29",NA,NA,NA,NA,NA,NA,NA,NA
"30",NA,NA,NA,NA,NA,NA,NA,NA
"31",NA,NA,NA,NA,NA,NA,NA,NA
"32",NA,NA,NA,NA,NA,NA,NA,NA
"33",NA,NA,NA,NA,NA,NA,NA,NA
"34",NA,NA,NA,NA,NA,NA,NA,NA
"35",NA,NA,NA,NA,NA,NA,NA,NA
"36",NA,NA,NA,NA,NA,NA,NA,NA
"37",NA,NA,NA,NA,NA,NA,NA,NA
"38",NA,NA,NA,NA,NA,NA,NA,NA
"39",NA,NA,NA,NA,NA,NA,NA,NA
"40",NA,NA,NA,NA,NA,NA,NA,NA
"41",NA,NA,NA,NA,NA,NA,NA,NA
"42",NA,NA,NA,NA,NA,NA,NA,NA
"43",NA,NA,NA,NA,NA,NA,NA,NA
"44",NA,NA,NA,NA,NA,NA,NA,NA
"45",NA,NA,NA,NA,NA,NA,NA,NA
"46",NA,NA,NA,NA,NA,NA,NA,NA
"47",NA,NA,NA,NA,NA,NA,NA,NA
"48",NA,NA,NA,NA,NA,NA,NA,NA
"49",NA,NA,NA,NA,NA,NA,NA,NA
"50",0.0286952820329019,0.46836133725041,0.756678906837316,-0.703396797330206,1.02008917896935,1.38353710618005,1.68959668219261,0.614124558818284
"51",-0.0555047820514921,0.479367241708257,0.661547796464798,-0.868798293132366,0.962257701525419,1.39413207340433,1.58177872623336,0.547602791785736
"52",-0.0761494335702407,0.497900926795197,0.694422334402625,-0.852063958490966,0.948586056022281,1.4121574249388,1.61823634973943,0.553991613473031
"53",0.607891818662374,0.643839385495488,1.47675726673618,-0.511106732347601,1.5240305457266,1.56248180035791,2.78322446709071,0.701683949660524
"54",0.598768270145759,0.717466304737863,1.6180936058461,-0.50881243334191,1.51442304532611,1.64429175309613,3.0696913551838,0.702800716198828
"55",-0.00348065967334988,0.440500440020659,0.7515088866356,-0.644617145821764,0.997590298563986,1.35707498606908,1.68355270501172,0.63966251810634
"56",0.353385225729664,0.520243089586561,1.22519764715254,-0.387148900183375,1.27755484395881,1.43419688533171,2.33787476067511,0.764639216652183
"57",-0.00865574049641407,0.488299428432971,0.696955274143215,-0.843720371394361,0.994018260151307,1.40279036672977,1.62107998291592,0.557204814487059
"58",-0.0395570201683934,0.413253225247048,0.478239914203398,-0.820305465196466,0.972953647184728,1.33168533328474,1.39304311870289,0.56632202126615
"59",0.149679868632892,0.465235599860881,0.800589323488872,-0.62710438642789,1.10932328796459,1.38054278505219,1.74181249064274,0.64747464960163
"60",-0.000287326575984146,0.465991878493689,0.744371775538415,-0.703239317256868,0.999800860224914,1.38126667242047,1.67524462183915,0.614191598391044
"61",0.131941413584772,0.567429184487089,1.06244823809556,-0.706724345322759,1.09576726752185,1.48188057416794,2.08847263199857,0.612709724763949
"62",0.0175242940995691,0.448807069948632,0.763445962036796,-0.650215786470754,1.01222098843621,1.36491117758073,1.69754046148954,0.637185001634505
"63",-0.245656714784299,0.493070660958086,0.529765433320416,-1.0937336506435,0.843431778587657,1.40743730772646,1.44369444726694,0.468547218313694
"64",0.278819787570877,0.769408357720333,1.32879265301352,-1.11024320940575,1.21320200518685,1.70457060399529,2.51192371769465,0.463215935460196
"65",-0.0547477885368726,0.490484353241315,0.749154185411219,-0.840120915163458,0.962762738249635,1.40491646648337,1.68080712807582,0.558596749960739
"66",0.0278512019835204,0.518521471782695,0.924699757015033,-0.731637273773322,1.0194925282115,1.4324864294463,1.89828914294163,0.602220083359196
"67",0.866827645493285,0.600837448178505,1.78580048725723,-0.0780898571316322,1.82364845214184,1.51659665725814,3.44809730387598,0.94731106623333
"68",0.0404518966114718,0.473921031014057,0.79463910168502,-0.672615490987611,1.0284359140776,1.38887911042806,1.73464338918082,0.627368287015528
"69",0.0250510642742637,0.478372576314921,0.79243317412942,-0.684319512869264,1.01751570649249,1.39317122099295,1.7319930898356,0.622299282152148
"70",0.00158192625693686,0.472497402446109,0.712840251403037,-0.795603232176642,1.00109710910923,1.38750926254936,1.63902771685193,0.576102238162169
"71",0.377352554807512,0.722485148202207,1.56899656116353,-0.684750611956213,1.29895599290319,1.65002187181946,2.96698279551488,0.622113357499486
"72",0.0505316568735937,0.489952675057478,0.951134304042178,-0.629701454751162,1.03564650631473,1.40439880627701,1.93339217000167,0.646310146186952
"73",0.0268363155063026,0.48205045712044,0.716411775530703,-0.751401543977307,1.01877560238215,1.39672738105099,1.64309030714082,0.594026194755843
"74",0.0195016982270989,0.478882941165771,0.790585351419974,-0.760066071284547,1.01360932224112,1.39366415358271,1.72977615044049,0.590469288299969
"75",0.031017874968213,0.445971460106395,0.777967975883297,-0.637898644167509,1.02173274188802,1.36223108624619,1.71471401060819,0.642648316091009
"76",-0.00992498582944288,0.509106417198281,0.753348172225619,-0.772250389008533,0.993144133478684,1.42316843422447,1.68570042775326,0.585503463896621
"77",0.0242176843314675,0.456661869533804,0.781943523162398,-0.635352100813259,1.01692810323242,1.37236274716658,1.7194456604406,0.643783675226088
"78",0.0376785024749411,0.45497753135466,0.792394524971238,-0.597655971152934,1.02646077847316,1.37076145646739,1.73194669113292,0.660826766527524
"79",-0.322713179437859,0.5988195484391,0.627163020447762,-1.27348447642526,0.79956477511675,1.51447687403355,1.54452478324325,0.413659472290109
"80",0.346359694027147,0.572409117082756,1.20063874128966,-0.571451327425551,1.27134862357889,1.48700460696318,2.29841408857561,0.672939481786321
"81",-0.0370532887487372,0.466827180182458,0.697383802027113,-0.766381442696753,0.974643629867599,1.38206663944473,1.62156156851533,0.587890168827572
"82",0.360673405527557,0.405474357120339,0.977029863857904,-0.27433920775821,1.28402510100291,1.32452434148379,1.9684087898041,0.826828940821435
"83",0.197418487995769,0.590902406355555,1.15724103986289,-0.709171002172092,1.14664474906231,1.50618857441128,2.23030503699873,0.61167151504405
"84",-0.0365184284999937,0.648844549691859,1.00388703739978,-1.0795814174824,0.975005033188255,1.56791195662573,2.00539584374592,0.47316608752256
"85",-0.299434800490114,0.463191924390291,0.554905789897874,-0.913171410821065,0.81257067193218,1.37858853696088,1.46907269754418,0.53101649787491
"86",-0.169593809574402,0.469182647196603,0.62239955251364,-0.854312565111468,0.88909296983241,1.3843249624216,1.53943350523401,0.553128826197893
"87",0.0248896942055068,0.487476283719806,0.899066977152178,-0.629741274913953,1.01740190046125,1.40199021833315,1.86485954701364,0.646292307475836
"88",-0.0207077436696255,0.472793106887133,0.697896905866677,-0.75999608959314,0.985749006447345,1.38779368489109,1.62213838996351,0.590497931249852
